unit,esti,dist,maxcov,re
1,0.1,2,0.0,0.694181789958212
2,0.1,2,1.0,0.694181789958212
3,0.1111111111111111,2,2.0,0.7081752638174815
4,0.10714285714285714,2,3.0,0.7033450892985839
5,0.1,2,4.0,0.694181789958212
6,0.0925925925925926,2,5.0,0.6839601968823186
7,0.08571428571428572,2,6.0,0.6737082425853337
8,0.05,1,1.0,0.6021213355153661
9,0.04444444444444444,1,1.0,0.5864779626613854
10,0.04,1,1.0,0.5724844888021157
11,0.03636363636363636,1,1.0,0.559825851918204
12,0.03333333333333333,1,1.0,0.5482694218669526
13,0.03076923076923077,1,1.0,0.537638536753478
14,0.02857142857142857,1,1.0,0.5277958744940745
15,0.044444444444444446,1,2.0,0.5864779626613854
16,0.041666666666666664,1,2.0,0.577906268580203
17,0.0392156862745098,1,2.0,0.5698543996678341
18,0.037037037037037035,1,2.0,0.5622628957262223
19,0.03508771929824561,1,2.0,0.5550819490237017
20,0.03333333333333333,1,2.0,0.5482694218669526
21,0.031746031746031744,1,2.0,0.541789348353344
22,0.03896103896103896,1,3.0,0.568989151258576
23,0.037267080745341616,1,3.0,0.5630852832521438
24,0.03571428571428571,1,3.0,0.5574327212073246
25,0.03428571428571429,1,3.0,0.5520109414292375
26,0.03296703296703297,1,3.0,0.54680183609385
27,0.031746031746031744,1,3.0,0.541789348353344
28,0.030612244897959183,1,3.0,0.5369591738344464
29,0.034482758620689655,1,4.0,0.5527720619138465
30,0.03333333333333333,1,4.0,0.5482694218669526
31,0.03225806451612903,1,4.0,0.5439144362667135
32,0.03125,1,4.0,0.5396977277857702
33,0.030303030303030304,1,4.0,0.535610784983041
34,0.029411764705882353,1,4.0,0.5316458588734014
35,0.02857142857142857,1,4.0,0.5277958744940745
36,0.0308641975308642,1,5.0,0.5380478287910593
37,0.030030030030030033,1,5.0,0.5344088296206552
38,0.029239766081871343,1,5.0,0.5308668820885386
39,0.028490028490028487,1,5.0,0.5274169436775846
40,0.027777777777777776,1,5.0,0.5240543549317896
41,0.027100271002710025,1,5.0,0.5207748016129485
42,0.026455026455026454,1,5.0,0.5175742814181811
43,0.027906976744186046,1,6.0,0.5246706676900899
44,0.02727272727272727,1,6.0,0.5216173111237713
45,0.026666666666666665,1,6.0,0.5186325751537024
46,0.02608695652173913,1,6.0,0.5157134431173392
47,0.02553191489361702,1,6.0,0.5128570930065538
48,0.025,1,6.0,0.51006088107252
49,0.024489795918367346,1,6.0,0.5073223271211962
50,0.024,1,6.0,0.5046391012944328
51,0.024955436720142606,1,7.0,0.5098239226491179
52,0.024475524475524476,1,7.0,0.5072449064480119
53,0.024013722126929673,1,7.0,0.5047150173645687
54,0.02356902356902357,1,7.0,0.502232418707506
55,0.023140495867768594,1,7.0,0.4997953748994877
56,0.022727272727272728,1,7.0,0.49740224418860834
57,0.022328548644338118,1,7.0,0.4950514720049853
58,0.022988505747126436,1,8.0,0.4989201482654334
59,0.022598870056497175,1,8.0,0.4966497483451325
60,0.022222222222222223,1,8.0,0.49441750821853947
61,0.02185792349726776,1,8.0,0.4922221663172391
62,0.02150537634408602,1,8.0,0.49006252261830024
63,0.021164021164021163,1,8.0,0.48793743470493084
64,0.020833333333333332,1,8.0,0.48584581413735695
65,0.021301775147928994,1,9.0,0.4887991108455707
66,0.020979020979020976,1,9.0,0.48677135907513364
67,0.02066590126291619,1,9.0,0.48477410097056056
68,0.020361990950226245,1,9.0,0.4828064329654941
69,0.020066889632107024,1,9.0,0.4808674910687016
70,0.01978021978021978,1,9.0,0.47895644858616704
71,0.01950162513542795,1,9.0,0.47707251400475464
72,0.019841269841269844,1,10.0,0.47936574062374837
73,0.019569471624266144,1,10.0,0.47753377832282173
74,0.019305019305019305,1,10.0,0.4757267414533442
75,0.019047619047619046,1,10.0,0.47394396084566115
76,0.018796992481203006,1,10.0,0.47218479392122764
77,0.018552875695732836,1,10.0,0.47044862330212145
78,0.018315018315018312,1,10.0,0.4687348555102737
79,0.018565400843881856,1,11.0,0.47053825729309673
80,0.018333333333333333,1,11.0,0.46886760430801844
81,0.01810699588477366,1,11.0,0.4672177053133076
82,0.01788617886178862,1,11.0,0.4655880509891773
83,0.017670682730923697,1,11.0,0.46397815053748426
84,0.01746031746031746,1,11.0,0.4623875307944098
85,0.017254901960784316,1,11.0,0.46081573539564974
86,0.01744186046511628,1,12.0,0.46224705996049403
87,0.017241379310344827,1,12.0,0.4607116074710007
